GroupBy,fitzpatrick,sex,ageGroup,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,balancedAcc,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
fitzpatrick,3.0,,,303,0.68,0.11,0.69,0.1,208.0,95.0,95.0,814.0,0.679,28.0,26.0,0.12,185.0,64.0,0.7,20.0,19.0,0.08,231.0,33.0,0.62,24.0,18.0,0.08,215.0,46.0,0.66,23.0,32.0,0.15,183.0,65.0,0.74
fitzpatrick,4.0,,,254,0.65,0.11,0.67,0.11,170.0,84.0,84.0,678.0,0.647,19.0,31.0,0.15,176.0,28.0,0.6,27.0,24.0,0.12,171.0,32.0,0.54,14.0,7.0,0.03,203.0,30.0,0.68,24.0,22.0,0.15,128.0,80.0,0.77
fitzpatrick,5.0,,,342,0.7,0.1,0.71,0.1,242.0,100.0,100.0,926.0,0.708,40.0,18.0,0.07,252.0,32.0,0.44,15.0,16.0,0.06,257.0,54.0,0.78,6.0,40.0,0.15,224.0,72.0,0.92,39.0,26.0,0.12,193.0,84.0,0.68
fitzpatrick,6.0,,,87,0.64,0.12,0.7,0.1,61.0,26.0,26.0,235.0,0.646,5.0,7.0,0.09,69.0,6.0,0.55,12.0,8.0,0.22,28.0,39.0,0.76,3.0,3.0,0.04,76.0,5.0,0.62,6.0,8.0,0.11,62.0,11.0,0.65
sex,,f,,425,0.7,0.1,0.7,0.1,297.0,128.0,128.0,1147.0,0.695,32.0,43.0,0.13,283.0,67.0,0.68,30.0,31.0,0.09,304.0,60.0,0.67,30.0,21.0,0.06,303.0,71.0,0.7,36.0,33.0,0.11,257.0,99.0,0.73
sex,,m,,561,0.69,0.11,0.68,0.11,384.0,177.0,177.0,1506.0,0.687,60.0,39.0,0.09,399.0,63.0,0.51,44.0,36.0,0.09,383.0,98.0,0.69,17.0,47.0,0.1,415.0,82.0,0.83,56.0,55.0,0.15,309.0,141.0,0.72
ageGroup,,,00-04,361,0.72,0.09,0.73,0.09,262.0,99.0,99.0,984.0,0.726,42.0,20.0,0.08,235.0,64.0,0.6,9.0,27.0,0.08,300.0,25.0,0.74,23.0,23.0,0.09,227.0,88.0,0.79,25.0,29.0,0.12,222.0,85.0,0.77
ageGroup,,,05-09,215,0.62,0.11,0.68,0.11,146.0,69.0,69.0,576.0,0.623,18.0,7.0,0.04,176.0,14.0,0.44,7.0,14.0,0.09,138.0,56.0,0.89,16.0,30.0,0.21,110.0,59.0,0.79,28.0,18.0,0.11,152.0,17.0,0.38
ageGroup,,,10-14,71,0.82,0.11,0.7,0.1,50.0,21.0,21.0,192.0,0.817,10.0,4.0,0.09,42.0,15.0,0.6,0.0,6.0,0.1,53.0,12.0,1.0,0.0,5.0,0.07,65.0,1.0,1.0,11.0,6.0,0.16,32.0,22.0,0.67
ageGroup,,,15-19,26,0.49,0.12,0.69,0.1,18.0,8.0,8.0,70.0,0.489,3.0,5.0,0.25,15.0,3.0,0.5,2.0,0.0,0.0,21.0,3.0,0.6,1.0,0.0,0.0,25.0,0.0,0.0,2.0,3.0,0.25,9.0,12.0,0.86
ageGroup,,,20-24,43,0.31,0.13,0.65,0.12,28.0,15.0,15.0,114.0,0.417,1.0,6.0,0.14,36.0,0.0,0.0,10.0,2.0,0.08,24.0,7.0,0.41,0.0,3.0,0.07,40.0,0.0,0.0,4.0,4.0,0.22,14.0,21.0,0.84
